stationid,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
251.0,20453,2184,14331,1926,502,321,16,78,3067,1168,0,66,1643,1211,894,624,192,251,702,542,"Census Tract 65.01, Queens County, New YorkCensus Tract 65.02, Queens County, New YorkCensus Tract 69, Queens County, New YorkCensus Tract 71, Queens County, New YorkCensus Tract 95, Queens County, New YorkCensus Tract 125, Queens County, New York",216,486,49003,20453,2184,15701,1822,11628,1713,447,307,0,66,3049,1171,0,66,67,101,510,394,57,99,453,373,4752,1634,2703,1038,55,81,16,78,18,75,0,66,1576,1196,384,385,135,223,249,262,2852,2006,62,0,353,0,189,242,1714,573
252.0,21471,2294,16275,2140,438,490,55,127,3042,1220,0,77,1071,1010,590,507,75,150,515,483,"Census Tract 97, Queens County, New YorkCensus Tract 101, Queens County, New YorkCensus Tract 111, Queens County, New YorkCensus Tract 113, Queens County, New YorkCensus Tract 115, Queens County, New YorkCensus Tract 117, Queens County, New YorkCensus Tract 125, Queens County, New York",252,567,77900,21471,2294,17355,2224,13427,1938,346,406,16,90,2950,1249,0,77,51,104,565,503,50,134,515,483,4116,1722,2848,1365,92,152,39,114,92,187,0,77,1020,1006,25,93,25,93,0,77,2304,1285,242,0,649,0,46,82,1034,364
253.0,27142,2781,2873,1121,8830,2188,80,142,323,416,39,115,14381,3054,616,415,412,333,204,230,"Census Tract 71, Bronx County, New YorkCensus Tract 73, Bronx County, New YorkCensus Tract 75, Bronx County, New YorkCensus Tract 77, Bronx County, New YorkCensus Tract 79, Bronx County, New YorkCensus Tract 83, Bronx County, New York",216,30,45800,27142,2781,8136,2075,283,282,7328,2008,65,146,311,417,39,115,36,106,74,126,0,81,74,126,19006,3024,2590,1029,1502,881,15,77,12,84,0,81,14345,3047,542,382,412,333,130,198,10825,1163,3718,15,12,31,5546,340,91,7618
254.0,37214,3891,4345,1740,11768,3292,83,186,223,321,7,98,20066,4229,722,493,482,382,240,278,"Census Tract 75, Bronx County, New YorkCensus Tract 77, Bronx County, New YorkCensus Tract 79, Bronx County, New YorkCensus Tract 85, Bronx County, New YorkCensus Tract 87, Bronx County, New YorkCensus Tract 129.01, Bronx County, New YorkCensus Tract 133, Bronx County, New York",252,35,66501,37214,3891,10921,3177,520,455,10000,3148,60,166,157,292,7,98,85,191,92,152,0,102,92,152,26293,4182,3825,1588,1768,1030,23,122,66,184,0,102,19981,4215,630,459,482,382,148,236,13164,1569,4059,0,62,7,7175,292,150,9424
255.0,14297,1639,2383,914,5147,1131,119,211,55,67,0,44,6189,1451,404,329,214,245,190,191,"Census Tract 19, Bronx County, New YorkCensus Tract 27.01, Bronx County, New YorkCensus Tract 27.02, Bronx County, New YorkCensus Tract 33, Bronx County, New York",144,20,10603,14297,1639,4834,1152,348,212,4144,1055,68,140,55,67,0,44,118,175,101,148,1,37,100,148,9463,1549,2035,907,1003,619,51,115,0,44,0,44,6071,1449,303,290,213,246,90,125,7145,1069,2685,68,9,0,3173,141,72,4659
256.0,18043,1937,1988,929,5066,1295,46,102,184,236,0,66,10485,2073,274,220,179,175,95,127,"Census Tract 155, Bronx County, New YorkCensus Tract 157, Bronx County, New YorkCensus Tract 161, Bronx County, New YorkCensus Tract 359, Bronx County, New YorkCensus Tract 365.02, Bronx County, New YorkCensus Tract 367, Bronx County, New York",216,30,156402,18043,1937,4903,1224,159,218,4462,1226,0,66,184,236,0,66,80,156,18,73,9,69,9,70,13140,1955,1829,890,604,446,46,102,0,66,0,66,10405,2074,256,213,170,173,86,119,7851,813,1410,33,50,0,5467,78,35,6455
257.0,29606,3028,6876,2191,10797,2341,106,188,1255,931,0,76,9349,2921,1223,861,553,559,670,618,"Census Tract 328, Bronx County, New YorkCensus Tract 330, Bronx County, New YorkCensus Tract 332.02, Bronx County, New YorkCensus Tract 336, Bronx County, New YorkCensus Tract 338, Bronx County, New YorkCensus Tract 340, Bronx County, New York",216,30,200402,29606,3028,14546,2579,3117,1404,9711,2200,0,76,1255,931,0,76,90,154,373,414,123,240,250,294,15060,2787,3759,1640,1086,819,106,188,0,76,0,76,9259,2907,850,677,430,474,420,441,8615,1676,2816,98,265,0,3142,618,697,5105
258.0,14350,1722,2098,908,4785,1218,137,232,32,75,0,55,6836,1608,462,403,211,239,251,279,"Census Tract 27.02, Bronx County, New YorkCensus Tract 31, Bronx County, New YorkCensus Tract 33, Bronx County, New YorkCensus Tract 35, Bronx County, New YorkCensus Tract 37, Bronx County, New York",180,25,16302,14350,1722,4271,1223,210,232,3875,1147,68,151,32,75,0,55,20,86,66,123,0,55,66,123,10079,1575,1888,862,910,570,69,136,0,55,0,55,6816,1587,396,371,211,239,185,239,6422,782,2433,76,11,0,2966,154,60,4116
259.0,45270,4828,5908,2453,7143,2512,267,356,3329,1551,20,140,26327,5039,2276,1603,1265,1120,1011,1038,"Census Tract 265, Bronx County, New YorkCensus Tract 267.01, Bronx County, New YorkCensus Tract 267.02, Bronx County, New YorkCensus Tract 399.01, Bronx County, New YorkCensus Tract 401, Bronx County, New YorkCensus Tract 403.02, Bronx County, New YorkCensus Tract 403.03, Bronx County, New YorkCensus Tract 403.04, Bronx County, New YorkCensus Tract 405.01, Bronx County, New York",324,45,321314,45270,4828,11370,2978,1341,907,6026,2308,32,157,3179,1522,20,140,225,329,547,622,171,331,376,445,33900,4866,4567,2274,1117,857,235,338,150,289,0,119,26102,5035,1729,1355,1094,975,635,839,15466,2060,1881,54,790,0,9955,726,398,12673
260.0,29235,3091,6357,2362,6685,1619,203,277,1404,825,0,76,13250,2753,1336,844,674,561,662,552,"Census Tract 403.03, Bronx County, New YorkCensus Tract 407.01, Bronx County, New YorkCensus Tract 407.02, Bronx County, New YorkCensus Tract 409, Bronx County, New YorkCensus Tract 411, Bronx County, New YorkCensus Tract 413, Bronx County, New York",216,30,245006,29235,3091,11246,2645,3585,1998,5650,1532,0,76,1365,818,0,76,154,255,492,435,112,196,380,372,17989,2808,2772,1467,1035,677,203,277,39,110,0,76,13096,2741,844,676,562,515,282,382,7950,1364,1367,19,506,0,4439,255,471,5826
261.0,26594,2637,3157,1271,18093,2364,158,234,366,333,11,79,3416,1938,1393,836,209,250,1184,810,"Census Tract 232, New York County, New YorkCensus Tract 234, New York County, New YorkCensus Tract 235.02, New York County, New YorkCensus Tract 236, New York County, New YorkCensus Tract 259, New York County, New York",180,305,119602,26594,2637,19420,2343,1703,704,16594,2271,151,233,366,333,11,79,19,75,576,412,17,77,559,411,7174,2134,1454,981,1499,927,7,65,0,70,0,70,3397,1938,817,646,192,249,625,597,6897,693,4304,106,61,11,1258,464,161,2683
262.0,45066,4450,4986,2474,16699,3636,265,425,661,629,7,138,21190,4479,1258,950,724,718,534,570,"Census Tract 209, Bronx County, New YorkCensus Tract 213.01, Bronx County, New YorkCensus Tract 213.02, Bronx County, New YorkCensus Tract 215.02, Bronx County, New YorkCensus Tract 217, Bronx County, New YorkCensus Tract 223, Bronx County, New YorkCensus Tract 225, Bronx County, New YorkCensus Tract 227.01, Bronx County, New YorkCensus Tract 227.02, Bronx County, New YorkCensus Tract 227.03, Bronx County, New York",360,50,219611,45066,4450,17061,3570,813,761,15211,3572,38,161,646,632,7,138,112,199,234,320,8,138,226,319,28005,4608,4173,2278,1488,1165,227,404,15,144,0,140,21078,4469,1024,852,716,718,308,422,16973,2013,6084,185,74,7,8054,556,270,10900
263.0,53182,5379,5664,2509,12423,3320,464,543,1988,1151,40,203,30193,5551,2410,1704,1327,1057,1083,1194,"Census Tract 237.02, Bronx County, New YorkCensus Tract 237.03, Bronx County, New YorkCensus Tract 239, Bronx County, New YorkCensus Tract 253, Bronx County, New YorkCensus Tract 265, Bronx County, New YorkCensus Tract 383.01, Bronx County, New YorkCensus Tract 383.02, Bronx County, New YorkCensus Tract 399.01, Bronx County, New YorkCensus Tract 399.02, Bronx County, New YorkCensus Tract 401, Bronx County, New York",360,50,319611,53182,5379,14749,3201,1390,1076,10880,2926,197,345,1831,1095,0,150,180,306,271,391,10,150,261,387,38433,5289,4274,2097,1543,1269,267,374,157,333,40,203,30013,5543,2139,1609,1317,1057,822,1026,21290,2224,4938,190,356,0,12716,866,336,16280
264.0,49967,5064,5929,3153,17333,4127,236,417,788,729,21,159,23838,5043,1822,1246,853,773,969,902,"Census Tract 179.02, Bronx County, New YorkCensus Tract 197, Bronx County, New YorkCensus Tract 209, Bronx County, New YorkCensus Tract 211, Bronx County, New YorkCensus Tract 213.02, Bronx County, New YorkCensus Tract 219, Bronx County, New YorkCensus Tract 221.01, Bronx County, New YorkCensus Tract 221.02, Bronx County, New YorkCensus Tract 223, Bronx County, New YorkCensus Tract 225, Bronx County, New York",360,50,211807,49967,5064,17800,4118,536,576,15667,4014,0,140,780,722,21,159,410,524,386,500,36,146,350,492,32167,4981,5393,3106,1666,1283,236,417,8,137,0,140,23428,5031,1436,1077,817,755,619,706,19503,2379,7079,164,271,0,8744,866,171,12510
265.0,27335,2898,5899,2099,4603,1268,149,221,1242,804,0,70,13865,2887,1577,988,965,805,612,493,"Census Tract 407.01, Bronx County, New YorkCensus Tract 407.02, Bronx County, New YorkCensus Tract 411, Bronx County, New YorkCensus Tract 413, Bronx County, New YorkCensus Tract 415, Bronx County, New York",180,25,205303,27335,2898,9227,2459,3558,1866,3666,1171,0,70,1224,802,0,70,213,316,566,630,287,497,279,275,18108,2739,2341,1152,937,653,149,221,18,83,0,70,13652,2884,1011,668,678,543,333,371,7051,1095,810,0,397,0,4407,342,456,5535
266.0,17511,1646,3661,910,4140,1219,36,48,247,213,29,61,8443,2057,955,488,456,334,499,356,"Census Tract 273, Bronx County, New YorkCensus Tract 309, New York County, New York",72,66,58200,17511,1646,4796,1208,1282,544,3160,1060,13,36,247,213,0,32,7,27,87,115,0,32,87,115,12715,1965,2379,761,980,701,23,44,0,32,29,61,8436,2057,868,468,456,334,412,298,4724,915,1151,0,0,0,2310,348,204,3522
267.0,34380,3604,8140,2204,7070,2267,158,222,779,534,29,110,16224,3788,1980,1248,937,730,1043,970,"Census Tract 273, Bronx County, New YorkCensus Tract 277, Bronx County, New YorkCensus Tract 283, Bronx County, New YorkCensus Tract 287, Bronx County, New YorkCensus Tract 289, Bronx County, New YorkCensus Tract 309, New York County, New York",216,86,171800,34380,3604,10850,2906,4029,1553,5533,1996,75,151,755,527,0,81,13,70,445,652,0,81,445,652,23530,3708,4111,1506,1537,1139,83,152,24,108,29,110,16211,3788,1535,939,937,730,598,490,9151,1716,2269,15,206,0,4199,746,717,5946
268.0,25989,2577,9547,2199,2965,1213,233,328,567,495,27,95,11098,2616,1552,886,529,414,1023,743,"Census Tract 269, Bronx County, New YorkCensus Tract 293, New York County, New YorkCensus Tract 299, New York County, New YorkCensus Tract 303, New York County, New YorkCensus Tract 307, New York County, New York",180,249,147100,25989,2577,7633,1778,4420,1265,1959,804,1,52,567,495,27,95,68,132,591,513,18,77,573,512,18356,2667,5127,1829,1006,795,232,327,0,60,0,60,11030,2618,961,637,511,419,450,451,7700,2273,963,46,23,0,4197,198,572,6526
269.0,30969,2743,9270,2236,3148,1243,226,289,489,425,30,85,16098,3054,1708,881,662,490,1046,726,"Census Tract 291, New York County, New YorkCensus Tract 293, New York County, New YorkCensus Tract 299, New York County, New YorkCensus Tract 303, New York County, New York",144,244,118600,30969,2743,5026,1306,2479,840,1664,668,1,48,449,419,0,56,44,98,389,328,18,73,371,327,25943,2924,6791,2084,1484,995,225,288,40,83,30,85,16054,3053,1319,786,644,495,675,592,9715,2802,1037,53,14,30,5426,353,236,8880
270.0,42628,3969,15720,3174,3551,1445,269,378,986,664,75,160,19503,4448,2524,1280,811,617,1713,1090,"Census Tract 291, New York County, New YorkCensus Tract 293, New York County, New YorkCensus Tract 295, New York County, New YorkCensus Tract 299, New York County, New YorkCensus Tract 303, New York County, New YorkCensus Tract 307, New York County, New York",216,366,178800,42628,3969,10532,2065,6701,1452,1951,834,1,75,946,658,45,131,97,171,791,594,35,111,756,588,32096,4171,9019,2845,1600,1106,268,377,40,110,30,112,19406,4450,1733,1015,776,617,957,781,11104,3365,1105,53,64,48,6084,385,494,9875
271.0,3233,304,2120,316,137,66,0,11,233,161,0,11,527,256,216,146,51,63,165,132,"Census Tract 285, Bronx County, New York",36,5,28500,3233,304,1976,242,1533,244,111,62,0,11,233,161,0,11,40,61,59,51,0,11,59,51,1257,248,587,250,26,23,0,11,0,11,0,11,487,253,157,138,51,63,106,124,552,376,0,0,100,0,0,76,204,248
272.0,21432,2217,2656,1071,5398,1562,0,65,87,142,0,65,12782,2288,509,421,313,360,196,218,"Census Tract 60, Bronx County, New YorkCensus Tract 161, Bronx County, New YorkCensus Tract 359, Bronx County, New YorkCensus Tract 361, Bronx County, New YorkCensus Tract 363, Bronx County, New York",180,25,130400,21432,2217,5157,1495,187,195,4750,1527,0,65,87,142,0,65,70,140,63,116,0,65,63,116,16275,2112,2469,1045,648,465,0,65,0,65,0,65,12712,2276,446,363,313,360,133,156,10045,998,2433,0,28,0,6329,257,54,7764
273.0,17422,2053,1402,816,12641,2080,2,49,158,215,0,55,2412,1252,807,719,444,468,363,380,"Census Tract 378, Bronx County, New YorkCensus Tract 390, Bronx County, New YorkCensus Tract 392, Bronx County, New YorkCensus Tract 394, Bronx County, New YorkCensus Tract 396, Bronx County, New York",180,25,195000,17422,2053,13053,2059,438,374,12094,2071,2,49,158,215,0,55,222,317,139,183,48,120,91,136,4369,1329,964,688,547,555,0,55,0,55,0,55,2190,1183,668,644,396,411,272,311,5180,441,3254,2,7,0,1133,343,140,1848
274.0,15512,1581,4496,1381,2835,867,36,83,1768,710,0,43,5769,1781,608,488,286,282,322,319,"Census Tract 411, Bronx County, New YorkCensus Tract 419, Bronx County, New YorkCensus Tract 421, Bronx County, New York",108,15,125100,15512,1581,6398,1360,2333,1088,2084,667,0,43,1768,710,0,43,0,43,213,289,19,52,194,288,9114,1703,2163,944,751,595,36,83,0,43,0,43,5769,1781,395,321,267,276,128,123,3749,704,451,36,335,0,2187,36,176,2908
275.0,33807,3298,7835,2534,5420,1826,329,450,3497,1542,0,81,15195,3528,1531,967,563,526,968,745,"Census Tract 413, Bronx County, New YorkCensus Tract 419, Bronx County, New YorkCensus Tract 423, Bronx County, New YorkCensus Tract 425, Bronx County, New YorkCensus Tract 429.01, Bronx County, New YorkCensus Tract 429.02, Bronx County, New York",216,30,253803,33807,3298,12830,2730,4636,2165,4155,1459,32,107,3497,1542,0,81,58,149,452,446,70,141,382,403,20977,3467,3199,1581,1265,930,297,432,0,81,0,81,15137,3536,1079,825,493,505,586,599,9668,1485,1057,40,1323,0,5337,426,563,7010
276.0,23647,2710,3597,1465,11374,2179,250,381,999,778,0,71,6460,2067,967,646,490,479,477,421,"Census Tract 336, Bronx County, New YorkCensus Tract 338, Bronx County, New YorkCensus Tract 340, Bronx County, New YorkCensus Tract 372, Bronx County, New YorkCensus Tract 374, Bronx County, New YorkCensus Tract 376, Bronx County, New York",216,30,213600,23647,2710,13272,2293,1006,575,10623,2123,139,269,999,778,0,71,152,202,353,344,174,271,179,214,10375,2275,2591,1299,751,524,111,183,0,71,0,71,6308,2067,614,492,316,358,298,332,7053,1460,2375,103,348,0,2350,417,503,4022
277.0,12258,1187,882,419,8785,1161,176,209,110,118,0,27,1969,707,336,295,84,133,252,266,"Census Tract 460, Bronx County, New YorkCensus Tract 462.02, Bronx County, New York",72,10,92202,12258,1187,8992,1144,266,92,8383,1155,76,127,110,118,0,27,113,104,44,56,0,27,44,56,3266,811,616,410,402,338,100,178,0,27,0,27,1856,708,292,280,84,133,208,251,2456,99,1369,0,87,0,803,98,19,1091
278.0,4377,480,397,215,3425,443,141,224,11,17,0,11,326,210,77,110,74,111,3,4,"Census Tract 484, Bronx County, New York",36,5,48400,4377,480,3602,422,174,123,3333,449,0,11,11,17,0,11,8,12,76,110,73,111,3,4,775,328,223,153,92,81,141,224,0,11,0,11,318,210,1,2,1,2,0,11,282,54,228,0,0,0,0,0,45,9
279.0,20508,2875,3495,1760,2661,961,476,438,8997,2646,0,60,3771,1506,1108,747,607,504,501,521,"Census Tract 462, Queens County, New YorkCensus Tract 464, Queens County, New YorkCensus Tract 466, Queens County, New YorkCensus Tract 468, Queens County, New YorkCensus Tract 470, Queens County, New York",180,405,233000,20508,2875,14980,2760,1565,856,2315,842,451,410,8815,2588,0,60,1129,676,705,609,303,382,402,458,5528,1875,1930,1399,346,384,25,88,182,229,0,60,2642,1367,403,392,304,310,99,144,3283,635,228,7,2045,0,282,86,456,478
280.0,12622,1540,1688,730,8364,1423,41,79,391,264,0,33,1959,977,179,154,84,97,95,121,"Census Tract 414, Bronx County, New YorkCensus Tract 434, Bronx County, New YorkCensus Tract 442, Bronx County, New York",108,15,129000,12622,1540,9755,1424,935,566,8123,1364,0,33,391,264,0,33,185,234,121,124,58,72,63,91,2867,1025,753,474,241,204,41,79,0,33,0,33,1774,933,58,72,26,58,32,71,2233,277,1459,41,34,0,413,9,110,701
281.0,27234,2381,6120,1418,17960,2433,134,238,1219,722,0,76,975,873,826,568,162,206,664,517,"Census Tract 213, Kings County, New YorkCensus Tract 323, Kings County, New YorkCensus Tract 215, Kings County, New YorkCensus Tract 325, Kings County, New YorkCensus Tract 217, Kings County, New YorkCensus Tract 219, Kings County, New York",216,282,151200,27234,2381,24545,2416,5388,1362,17059,2436,134,238,1168,707,0,76,107,178,689,554,120,209,569,490,2689,1288,732,526,901,683,0,76,51,119,0,76,868,773,137,159,42,127,95,131,4914,739,3390,134,283,0,230,138,516,531
282.0,14915,2053,1902,1037,8650,1689,11,75,219,238,0,66,3750,1683,383,358,150,194,233,276,"Census Tract 405, Kings County, New YorkCensus Tract 367, Kings County, New YorkCensus Tract 403, Kings County, New YorkCensus Tract 407, Kings County, New YorkCensus Tract 411, Kings County, New YorkCensus Tract 369, Kings County, New York",216,282,236200,14915,2053,9221,1663,753,518,8092,1632,11,75,193,228,0,66,68,121,104,164,0,66,104,164,5694,1672,1149,827,558,542,0,66,26,81,0,66,3682,1664,279,297,150,194,129,203,4848,398,2699,0,49,0,1615,87,148,2013
283.0,10716,1495,1588,863,6190,1128,0,55,220,229,0,55,2390,1083,328,306,144,169,184,224,"Census Tract 405, Kings County, New YorkCensus Tract 367, Kings County, New YorkCensus Tract 365.02, Kings County, New YorkCensus Tract 1142.01, Kings County, New YorkCensus Tract 369, Kings County, New York",180,235,264803,10716,1495,6609,1187,469,391,5732,1102,0,55,208,225,0,55,35,77,165,199,34,86,131,184,4107,1244,1119,687,458,395,0,55,12,61,0,55,2355,1080,163,183,110,143,53,88,3075,289,1830,0,56,0,842,58,81,1092
284.0,22097,2253,1928,957,14712,2171,212,305,544,575,0,65,3653,1655,1048,582,622,496,426,377,"Census Tract 348, Bronx County, New YorkCensus Tract 350, Bronx County, New YorkCensus Tract 358, Bronx County, New YorkCensus Tract 360, Bronx County, New YorkCensus Tract 364, Bronx County, New York",180,25,178000,22097,2253,15899,2222,608,358,14149,2179,212,305,520,570,0,65,70,135,340,352,6,62,334,353,6198,1624,1320,862,563,487,0,65,24,72,0,65,3583,1643,708,526,616,496,92,146,2675,134,1515,0,158,0,809,59,42,1198
285.0,19120,2220,2772,1176,5172,1634,42,87,482,411,0,54,9922,2162,730,515,392,393,338,316,"Census Tract 218, Bronx County, New YorkCensus Tract 220, Bronx County, New YorkCensus Tract 240, Bronx County, New YorkCensus Tract 361, Bronx County, New York",144,20,103900,19120,2220,5576,1719,430,355,4535,1589,26,79,478,412,0,54,55,98,52,90,0,54,52,90,13544,2187,2342,1117,637,469,16,62,4,50,0,54,9867,2148,678,495,392,393,286,268,6352,323,1682,26,19,0,4035,267,54,4752
286.0,35393,3161,10582,2353,4007,1405,239,245,862,623,30,95,18287,3557,1386,880,462,429,924,729,"Census Tract 285, New York County, New YorkCensus Tract 291, New York County, New YorkCensus Tract 277, New York County, New YorkCensus Tract 283, New York County, New York",144,244,113600,35393,3161,6413,1337,3172,800,2182,844,34,92,781,611,0,66,56,123,188,210,0,66,188,210,28980,3433,7410,2275,1825,1225,205,223,81,126,30,95,18231,3567,1198,837,462,429,736,669,9052,2231,992,47,128,30,5279,345,379,8093
287.0,30195,3043,6991,1820,11809,2388,43,148,3265,1272,14,78,6780,2387,1293,898,235,313,1058,744,"Census Tract 209.01, New York County, New YorkCensus Tract 211, New York County, New YorkCensus Tract 213.03, New York County, New YorkCensus Tract 219, New York County, New YorkCensus Tract 223.02, New York County, New York",180,305,107506,30195,3043,19401,2751,5060,1474,10370,2201,0,72,3265,1272,14,78,138,257,554,581,1,57,553,581,10794,2646,1931,1164,1439,949,43,148,0,72,0,72,6642,2338,739,556,234,313,505,330,10350,1478,4247,0,1458,14,2795,358,873,4348
288.0,23670,2513,6911,1399,13339,2313,129,217,1311,800,12,78,1176,740,792,502,211,257,581,396,"Census Tract 305, Kings County, New YorkCensus Tract 221, Kings County, New YorkCensus Tract 247, Kings County, New YorkCensus Tract 227, Kings County, New YorkCensus Tract 229, Kings County, New YorkCensus Tract 245, Kings County, New York",216,282,147400,23670,2513,21080,2498,6465,1332,12639,2295,119,212,1311,800,12,78,64,133,470,310,28,80,442,306,2590,1050,446,325,700,609,10,76,0,71,0,71,1112,708,322,332,183,248,139,195,4704,830,2943,32,291,0,325,283,794,744
289.0,14846,1440,1638,565,6929,1139,118,216,105,148,0,43,5824,1175,232,187,58,96,174,144,"Census Tract 51, Bronx County, New YorkCensus Tract 61, Bronx County, New YorkCensus Tract 65, Bronx County, New York",108,15,17700,14846,1440,6963,1157,349,232,6242,1068,118,216,97,146,0,43,28,72,129,143,0,43,129,143,7883,1133,1289,515,687,300,0,43,8,44,0,43,5796,1173,103,113,58,96,45,61,5567,645,2240,118,0,0,2505,59,33,3486
290.0,27988,2807,3874,1778,9227,2306,141,211,122,181,55,134,13937,2940,632,620,250,242,382,474,"Census Tract 41, Bronx County, New YorkCensus Tract 43, Bronx County, New YorkCensus Tract 65, Bronx County, New YorkCensus Tract 67, Bronx County, New YorkCensus Tract 71, Bronx County, New York",180,25,28700,27988,2807,8803,2086,487,417,7833,2063,38,134,114,179,47,137,132,264,152,252,0,75,152,252,19185,2866,3387,1737,1394,1083,103,152,8,76,8,72,13805,2883,480,471,250,242,230,300,12764,1338,4045,38,11,0,7014,318,75,9134
291.0,48705,4739,5863,2717,15185,3427,264,438,986,852,21,148,24280,4894,2106,1416,734,659,1372,1128,"Census Tract 179.01, Bronx County, New YorkCensus Tract 181.02, Bronx County, New YorkCensus Tract 195, Bronx County, New YorkCensus Tract 197, Bronx County, New YorkCensus Tract 199, Bronx County, New YorkCensus Tract 211, Bronx County, New YorkCensus Tract 219, Bronx County, New YorkCensus Tract 221.01, Bronx County, New YorkCensus Tract 221.02, Bronx County, New York",324,45,182306,48705,4739,15693,3568,709,594,13118,3288,176,401,968,844,21,148,383,546,318,410,32,166,286,390,33012,4608,5154,2558,2067,1345,88,188,18,128,0,129,23897,4871,1788,1347,702,632,1086,1052,19041,2191,5298,203,421,0,10097,831,91,13599
292.0,31013,3122,5713,2286,9208,2302,220,294,225,272,0,81,14966,3278,681,636,307,330,374,461,"Census Tract 23, Bronx County, New YorkCensus Tract 25, Bronx County, New YorkCensus Tract 27.01, Bronx County, New YorkCensus Tract 27.02, Bronx County, New YorkCensus Tract 39, Bronx County, New YorkCensus Tract 41, Bronx County, New York",216,30,18203,31013,3122,8151,2123,322,296,7527,2018,47,123,173,257,0,81,54,142,28,98,0,81,28,98,22862,3200,5391,2247,1681,1253,173,264,52,138,0,81,14912,3263,653,627,307,330,346,447,14674,2505,4205,70,173,0,7360,361,41,11074
