,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
1400000US36005026500,7009,740,1083,456,746,406,0,16,855,287,0,16,3917,738,408,289,201,177,207,255,"Census Tract 265, Bronx County, New York",36,005,026500,7009,740,1678,474,143,109,669,386,0,16,813,281,0,16,24,36,29,34,10,16,19,30,5331,777,940,438,77,66,0,16,42,66,0,16,3893,741,379,285,191,177,188,255,2218,505,195,0,98,0,1365,55,70,1860
1400000US36005026601,3035,295,1721,347,95,69,0,11,145,100,0,11,1067,346,7,11,0,11,7,11,"Census Tract 266.01, Bronx County, New York",36,005,026601,3035,295,1601,294,1344,325,95,69,0,11,145,100,0,11,10,17,7,11,0,11,7,11,1434,338,377,177,0,11,0,11,0,11,0,11,1057,346,0,11,0,11,0,11,456,211,10,0,0,0,235,0,165,281
1400000US36005026602,5769,645,3187,566,399,246,61,59,86,72,0,16,1689,624,347,219,267,212,80,76,"Census Tract 266.02, Bronx County, New York",36,005,026602,5769,645,2638,474,2095,441,380,246,11,22,86,72,0,16,0,16,66,74,29,49,37,60,3131,651,1092,402,19,32,50,57,0,16,0,16,1689,624,281,210,238,205,43,48,1128,661,149,0,0,0,297,21,408,590
1400000US36005026701,3659,358,532,183,179,104,12,21,833,272,0,11,1754,433,349,237,130,149,219,205,"Census Tract 267.01, Bronx County, New York",36,005,026701,3659,358,1199,283,132,84,135,85,0,11,801,263,0,11,12,20,119,129,17,27,102,123,2460,347,400,184,44,38,12,21,32,48,0,11,1742,433,230,186,113,146,117,134,1077,89,112,0,251,0,625,0,10,735
1400000US36005026702,6824,655,822,250,1338,345,19,32,145,137,0,16,4112,676,388,266,256,235,132,137,"Census Tract 267.02, Bronx County, New York",36,005,026702,6824,655,1592,407,182,92,1075,304,0,16,145,137,0,16,0,16,190,223,139,215,51,56,5232,668,640,238,263,169,19,32,0,16,0,16,4112,676,198,145,117,95,81,126,1881,217,225,0,49,0,1213,177,34,1624
1400000US36005026900,3862,444,573,362,614,202,29,33,156,167,0,11,2376,366,114,88,50,37,64,78,"Census Tract 269, Bronx County, New York",36,005,026900,3862,444,1093,403,287,313,545,195,0,11,156,167,0,11,61,82,44,72,0,11,44,72,2769,394,286,184,69,61,29,33,0,11,0,11,2315,367,70,49,50,37,20,32,1343,336,150,9,23,0,816,9,244,936
1400000US36005027300,8113,613,1133,340,2137,623,23,28,218,169,0,16,4066,860,536,267,158,144,378,252,"Census Tract 273, Bronx County, New York",36,005,027300,8113,613,2311,602,427,197,1648,581,0,16,218,169,0,16,0,16,18,29,0,16,18,29,5802,834,706,284,489,312,23,28,0,16,0,16,4066,860,518,267,158,144,360,249,1917,169,397,0,0,0,1196,155,74,1458
1400000US36005027401,4576,492,4214,534,0,11,0,11,207,155,0,11,155,134,0,11,0,11,0,11,"Census Tract 274.01, Bronx County, New York",36,005,027401,4576,492,4158,536,3951,559,0,11,0,11,207,155,0,11,0,11,0,11,0,11,0,11,418,184,263,125,0,11,0,11,0,11,0,11,155,134,0,11,0,11,0,11,204,204,0,0,0,0,0,0,189,15
1400000US36005027402,3878,447,3359,474,137,130,0,11,113,79,0,11,250,162,19,19,11,12,8,14,"Census Tract 274.02, Bronx County, New York",36,005,027402,3878,447,3127,559,2935,575,71,61,0,11,113,79,0,11,0,11,8,14,0,11,8,14,751,313,424,253,66,113,0,11,0,11,0,11,250,162,11,12,11,12,0,11,345,334,0,0,3,0,0,8,301,33
1400000US36005027600,63,35,23,30,32,25,0,11,0,11,0,11,0,11,8,11,0,11,8,11,"Census Tract 276, Bronx County, New York",36,005,027600,63,35,55,39,23,30,32,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,11,0,11,0,11,0,11,0,11,0,11,0,11,8,11,0,11,8,11,8,0,0,0,0,0,0,8,0,8
1400000US36005027700,5892,707,768,242,1358,409,15,23,77,57,0,16,3364,684,310,184,96,76,214,169,"Census Tract 277, Bronx County, New York",36,005,027700,5892,707,1792,423,422,158,1174,391,15,23,77,57,0,16,6,10,98,130,0,16,98,130,4100,668,346,170,184,134,0,16,0,16,0,16,3358,684,212,130,96,76,116,102,1976,242,489,15,50,0,1019,161,72,1331
1400000US36005027900,6809,593,2410,502,1252,402,143,220,367,178,0,16,2221,635,416,235,258,186,158,176,"Census Tract 279, Bronx County, New York",36,005,027900,6809,593,2780,475,1136,221,1107,347,143,220,367,178,0,16,21,31,6,13,0,16,6,13,4029,586,1274,450,145,140,0,16,0,16,0,16,2200,639,410,234,258,186,152,175,733,254,217,0,0,0,233,29,47,495
1400000US36005028100,3974,414,1805,305,1078,357,22,25,134,100,0,11,720,307,215,134,45,44,170,125,"Census Tract 281, Bronx County, New York",36,005,028100,3974,414,2607,378,1246,267,1065,358,14,21,119,95,0,11,65,41,98,103,0,11,98,103,1367,343,559,213,13,18,8,12,15,23,0,11,655,313,117,83,45,44,72,66,279,97,101,14,40,0,0,27,55,69
1400000US36005028300,3370,384,593,222,931,312,25,38,9,15,0,11,1721,349,91,76,91,76,0,11,"Census Tract 283, Bronx County, New York",36,005,028300,3370,384,936,299,91,63,836,302,0,11,9,15,0,11,0,11,0,11,0,11,0,11,2434,338,502,216,95,66,25,38,0,11,0,11,1721,349,91,76,91,76,0,11,1093,64,434,0,0,0,591,4,7,664
1400000US36005028400,740,200,135,96,248,120,4,8,18,28,0,11,303,145,32,35,0,11,32,35,"Census Tract 284, Bronx County, New York",36,005,028400,740,200,410,123,118,88,238,117,4,8,18,28,0,11,0,11,32,35,0,11,32,35,330,157,17,19,10,20,0,11,0,11,0,11,303,145,0,11,0,11,0,11,50,25,9,0,0,0,16,0,16,25
1400000US36005028500,3233,304,2120,316,137,66,0,11,233,161,0,11,527,256,216,146,51,63,165,132,"Census Tract 285, Bronx County, New York",36,005,028500,3233,304,1976,242,1533,244,111,62,0,11,233,161,0,11,40,61,59,51,0,11,59,51,1257,248,587,250,26,23,0,11,0,11,0,11,487,253,157,138,51,63,106,124,552,376,0,0,100,0,0,76,204,248
1400000US36005028600,1288,232,944,169,11,18,0,11,124,72,0,11,209,180,0,11,0,11,0,11,"Census Tract 286, Bronx County, New York",36,005,028600,1288,232,846,165,711,152,11,18,0,11,124,72,0,11,0,11,0,11,0,11,0,11,442,232,233,139,0,11,0,11,0,11,0,11,209,180,0,11,0,11,0,11,275,161,0,0,0,0,114,0,134,141
1400000US36005028700,3281,436,1417,454,353,196,47,70,254,143,0,11,1017,339,193,108,90,71,103,83,"Census Tract 287, Bronx County, New York",36,005,028700,3281,436,1555,468,1068,444,169,144,47,70,230,136,0,11,0,11,41,45,0,11,41,45,1726,332,349,148,184,150,0,11,24,38,0,11,1017,339,152,94,90,71,62,65,806,390,70,0,156,0,178,12,337,265
1400000US36005028800,3527,374,2463,369,208,228,0,11,513,237,0,11,250,138,93,130,0,11,93,130,"Census Tract 288, Bronx County, New York",36,005,028800,3527,374,3063,379,2342,371,208,228,0,11,513,237,0,11,0,11,0,11,0,11,0,11,464,107,121,77,0,11,0,11,0,11,0,11,250,138,93,130,0,11,93,130,172,24,128,0,17,0,3,0,23,4
1400000US36005028900,4326,431,1701,376,288,131,35,43,192,106,0,11,1679,359,431,392,204,173,227,351,"Census Tract 289, Bronx County, New York",36,005,028900,4326,431,1771,508,1166,344,194,99,0,11,192,106,0,11,0,11,219,351,0,11,219,351,2555,405,535,211,94,88,35,43,0,11,0,11,1679,359,212,171,204,173,8,14,552,105,125,0,0,0,101,221,97,164
1400000US36005029301,1989,197,1530,157,110,72,0,11,55,44,0,11,193,81,101,102,90,99,11,13,"Census Tract 293.01, Bronx County, New York",36,005,029301,1989,197,1680,195,1450,152,110,72,0,11,55,44,0,11,0,11,65,97,65,97,0,11,309,96,80,46,0,11,0,11,0,11,0,11,193,81,36,33,25,28,11,13,187,117,0,0,0,0,5,65,108,14
1400000US36005029302,5597,498,4376,539,299,167,0,16,167,147,0,16,528,351,227,190,58,78,169,135,"Census Tract 293.02, Bronx County, New York",36,005,029302,5597,498,4423,497,3877,525,270,163,0,16,167,147,0,16,22,36,87,87,0,16,87,87,1174,380,499,273,29,36,0,16,0,16,0,16,506,347,140,160,58,78,82,90,74,58,16,0,0,0,0,0,58,0
1400000US36005029500,4725,505,2989,522,610,398,0,11,327,224,0,11,502,311,297,188,112,131,185,131,"Census Tract 295, Bronx County, New York",36,005,029500,4725,505,3792,565,2706,479,581,399,0,11,327,224,0,11,0,11,178,130,0,11,178,130,933,422,283,228,29,41,0,11,0,11,0,11,502,311,119,127,112,131,7,12,277,153,23,0,13,0,8,80,145,96
1400000US36005029600,1660,263,657,162,283,123,7,11,441,166,0,11,259,125,13,20,0,11,13,20,"Census Tract 296, Bronx County, New York",36,005,029600,1660,263,1289,262,545,158,283,123,7,11,441,166,0,11,0,11,13,20,0,11,13,20,371,137,112,65,0,11,0,11,0,11,0,11,259,125,0,11,0,11,0,11,205,55,37,0,28,0,85,0,50,90
1400000US36005029700,3749,302,2669,391,241,127,0,11,285,185,68,100,312,168,174,118,73,87,101,76,"Census Tract 297, Bronx County, New York",36,005,029700,3749,302,2872,300,2210,326,194,111,0,11,285,185,68,100,52,61,63,55,0,11,63,55,877,275,459,256,47,66,0,11,0,11,0,11,260,151,111,99,73,87,38,54,111,94,8,0,9,0,0,0,94,0
1400000US36005030000,5801,573,2743,523,285,190,17,28,556,250,0,16,2001,628,199,181,199,181,0,16,"Census Tract 300, Bronx County, New York",36,005,030000,5801,573,2676,451,1896,340,224,170,0,16,556,250,0,16,0,16,0,16,0,16,0,16,3125,590,847,397,61,67,17,28,0,16,0,16,2001,628,199,181,199,181,0,16,644,359,33,0,54,0,198,0,237,353
1400000US36005030100,1308,211,945,190,49,33,0,11,35,19,0,11,212,127,67,55,29,29,38,46,"Census Tract 301, Bronx County, New York",36,005,030100,1308,211,881,152,779,153,49,33,0,11,35,19,0,11,0,11,18,18,0,11,18,18,427,146,166,63,0,11,0,11,0,11,0,11,212,127,49,42,29,29,20,30,114,91,1,0,5,0,17,0,79,29
1400000US36005030200,9607,997,1088,381,6296,602,126,154,74,75,0,16,1770,738,253,168,130,141,123,107,"Census Tract 302, Bronx County, New York",36,005,030200,9607,997,7262,999,688,256,5787,706,126,154,60,71,0,16,514,623,87,87,0,16,87,87,2345,418,400,263,509,368,0,16,14,24,0,16,1256,493,166,150,130,141,36,71,762,128,392,81,0,0,160,1,102,261
1400000US36005030701,5248,582,4119,496,270,202,0,16,168,136,0,16,651,298,40,51,0,16,40,51,"Census Tract 307.01, Bronx County, New York",36,005,030701,5248,582,4456,535,3995,492,253,205,0,16,168,136,0,16,0,16,40,51,0,16,40,51,792,310,124,109,17,28,0,16,0,16,0,16,651,298,0,16,0,16,0,16,409,251,0,0,0,0,158,0,251,158
1400000US36005030900,3896,456,3240,466,297,103,28,44,160,120,0,11,127,116,44,31,4,8,40,31,"Census Tract 309, Bronx County, New York",36,005,030900,3896,456,3442,459,2991,484,232,98,28,44,160,120,0,11,0,11,31,27,0,11,31,27,454,185,249,116,65,42,0,11,0,11,0,11,127,116,13,17,4,8,9,14,98,42,7,28,0,0,21,0,41,22
1400000US36005031000,4869,531,2461,457,901,386,180,258,557,352,0,11,615,275,155,93,34,33,121,73,"Census Tract 310, Bronx County, New York",36,005,031000,4869,531,3658,533,2124,427,844,384,0,11,557,352,0,11,0,11,133,92,21,28,112,72,1211,390,337,132,57,45,180,258,0,11,0,11,615,275,22,22,13,19,9,14,435,34,140,0,185,0,24,52,34,24
1400000US36005031200,2015,163,1037,222,241,151,0,11,483,212,0,11,203,148,51,45,16,23,35,37,"Census Tract 312, Bronx County, New York",36,005,031200,2015,163,1657,193,904,199,241,151,0,11,474,212,0,11,3,5,35,38,16,23,19,28,358,155,133,73,0,11,0,11,9,15,0,11,200,148,16,24,0,11,16,24,81,69,1,0,0,0,11,0,52,28
1400000US36005031400,2300,250,1359,175,295,129,0,11,355,189,0,11,291,139,0,11,0,11,0,11,"Census Tract 314, Bronx County, New York",36,005,031400,2300,250,1734,250,1104,160,234,96,0,11,355,189,0,11,41,65,0,11,0,11,0,11,566,191,255,141,61,55,0,11,0,11,0,11,250,133,0,11,0,11,0,11,118,58,0,0,19,0,41,0,33,25
1400000US36005031600,1956,264,759,202,478,191,0,11,223,142,0,11,405,245,91,73,38,54,53,48,"Census Tract 316, Bronx County, New York",36,005,031600,1956,264,1420,238,670,190,467,191,0,11,223,142,0,11,60,77,0,11,0,11,0,11,536,261,89,69,11,17,0,11,0,11,0,11,345,226,91,73,38,54,53,48,295,15,109,0,131,0,39,1,15,40
1400000US36005031800,2252,328,1237,352,318,147,13,19,209,152,43,71,426,225,6,12,0,11,6,12,"Census Tract 318, Bronx County, New York",36,005,031800,2252,328,1534,340,1020,325,286,134,0,11,209,152,0,11,13,22,6,12,0,11,6,12,718,216,217,119,32,47,13,19,0,11,43,71,413,225,0,11,0,11,0,11,262,118,5,6,69,0,64,0,23,165
1400000US36005031900,645,146,500,120,66,39,0,11,20,22,0,11,34,26,25,28,25,28,0,11,"Census Tract 319, Bronx County, New York",36,005,031900,645,146,520,113,445,112,42,25,0,11,20,22,0,11,6,13,7,13,7,13,0,11,125,52,55,29,24,27,0,11,0,11,0,11,28,25,18,25,18,25,0,11,59,56,2,0,1,0,0,0,54,2
1400000US36005032300,4595,461,3599,458,465,236,0,11,344,236,0,11,22,35,165,151,30,43,135,146,"Census Tract 323, Bronx County, New York",36,005,032300,4595,461,3714,458,2923,436,442,235,0,11,329,235,0,11,0,11,20,32,0,11,20,32,881,429,676,404,23,36,0,11,15,24,0,11,22,35,145,148,30,43,115,143,162,118,14,0,0,0,22,8,78,70
1400000US36005032400,2954,406,762,317,586,209,0,11,22,26,0,11,1465,499,119,87,56,59,63,71,"Census Tract 324, Bronx County, New York",36,005,032400,2954,406,945,287,290,242,526,191,0,11,22,26,0,11,75,129,32,51,0,11,32,51,2009,433,472,187,60,60,0,11,0,11,0,11,1390,464,87,74,56,59,31,51,957,298,130,0,11,0,518,0,153,696
1400000US36005032600,3576,537,1782,497,659,356,0,11,371,200,0,11,685,358,79,81,79,81,0,11,"Census Tract 326, Bronx County, New York",36,005,032600,3576,537,2636,471,1627,481,638,360,0,11,371,200,0,11,0,11,0,11,0,11,0,11,940,374,155,79,21,24,0,11,0,11,0,11,685,358,79,81,79,81,0,11,218,32,20,0,5,0,161,0,29,164
1400000US36005032800,4260,447,1244,345,1074,278,25,47,303,235,0,11,1371,496,243,188,131,147,112,125,"Census Tract 328, Bronx County, New York",36,005,032800,4260,447,1876,326,520,208,962,260,0,11,303,235,0,11,0,11,91,103,0,11,91,103,2384,430,724,340,112,100,25,47,0,11,0,11,1371,496,152,147,131,147,21,28,1351,322,373,25,0,0,457,174,86,942
1400000US36005033000,5697,660,2066,604,1108,384,0,16,97,77,0,16,2366,732,60,93,0,16,60,93,"Census Tract 330, Bronx County, New York",36,005,033000,5697,660,2340,505,1299,459,920,354,0,16,97,77,0,16,24,45,0,16,0,16,0,16,3357,692,767,368,188,145,0,16,0,16,0,16,2342,722,60,93,0,16,60,93,1474,171,319,0,0,0,924,60,122,1074
1400000US36005033201,4125,397,1261,237,790,337,72,111,127,110,0,11,1626,446,249,144,156,128,93,74,"Census Tract 332.01, Bronx County, New York",36,005,033201,4125,397,1507,241,731,186,468,155,0,11,127,110,0,11,98,115,83,87,55,83,28,42,2618,403,530,200,322,262,72,111,0,11,0,11,1528,411,166,112,101,98,65,61,921,201,162,0,22,0,471,65,152,678
1400000US36005033202,4207,398,985,361,1644,329,0,11,211,145,0,11,1112,374,255,143,135,103,120,86,"Census Tract 332.02, Bronx County, New York",36,005,033202,4207,398,2109,375,454,271,1362,273,0,11,211,145,0,11,0,11,82,105,57,84,25,30,2098,335,531,211,282,219,0,11,0,11,0,11,1112,374,173,93,78,56,95,79,860,182,358,0,27,0,214,79,24,507
1400000US36005033400,1441,174,403,126,439,140,0,11,46,40,0,11,545,173,8,12,8,12,0,11,"Census Tract 334, Bronx County, New York",36,005,033400,1441,174,567,149,144,54,377,141,0,11,46,40,0,11,0,11,0,11,0,11,0,11,874,177,259,117,62,37,0,11,0,11,0,11,545,173,8,12,8,12,0,11,273,61,124,0,12,0,68,8,22,136
1400000US36005033500,2207,182,1659,217,126,61,0,11,179,108,0,11,142,81,101,74,6,10,95,72,"Census Tract 335, Bronx County, New York",36,005,033500,2207,182,1880,207,1527,213,103,56,0,11,179,108,0,11,7,10,64,69,0,11,64,69,327,102,132,63,23,24,0,11,0,11,0,11,135,81,37,36,6,10,31,32,110,73,12,0,5,0,20,0,60,39
1400000US36005033600,6613,669,1263,413,3269,693,20,31,207,162,0,16,1719,532,135,115,83,98,52,60,"Census Tract 336, Bronx County, New York",36,005,033600,6613,669,3464,638,290,160,2901,649,0,16,207,162,0,16,66,65,0,16,0,16,0,16,3149,511,973,394,368,240,20,31,0,16,0,16,1653,528,135,115,83,98,52,60,2087,381,1083,20,70,0,481,52,91,991
1400000US36005033700,2277,224,1764,238,149,77,0,11,123,74,0,11,134,113,107,103,14,17,93,107,"Census Tract 337, Bronx County, New York",36,005,033700,2277,224,1955,236,1632,228,103,62,0,11,123,74,0,11,4,7,93,107,0,11,93,107,322,141,132,64,46,34,0,11,0,11,0,11,130,116,14,17,14,17,0,11,132,76,3,0,22,0,13,18,76,14
1400000US36005033800,4247,398,573,204,1926,275,25,38,221,157,0,11,1282,376,220,142,103,77,117,113,"Census Tract 338, Bronx County, New York",36,005,033800,4247,398,2405,316,217,144,1894,283,0,11,221,157,0,11,0,11,73,70,17,27,56,65,1842,383,356,135,32,43,25,38,0,11,0,11,1282,376,147,95,86,73,61,64,1408,275,347,25,81,0,617,63,140,847
1400000US36005034000,4582,456,745,264,1776,382,36,45,216,155,0,11,1499,411,310,180,101,118,209,141,"Census Tract 340, Bronx County, New York",36,005,034000,4582,456,2352,419,337,162,1672,381,0,11,216,155,0,11,0,11,127,104,49,86,78,64,2230,436,408,192,104,72,36,45,0,11,0,11,1499,411,183,134,52,84,131,117,1435,345,336,28,87,0,449,190,234,744
1400000US36005034200,2128,288,448,223,1034,200,55,85,135,110,0,11,406,284,50,51,36,45,14,21,"Census Tract 342, Bronx County, New York",36,005,034200,2128,288,1322,250,177,144,1002,201,0,11,135,110,0,11,0,11,8,12,0,11,8,12,806,324,271,166,32,31,55,85,0,11,0,11,406,284,42,46,36,45,6,9,370,19,170,55,74,0,39,13,0,136
1400000US36005034300,1755,229,913,189,227,90,0,11,30,38,0,11,525,165,60,41,50,38,10,15,"Census Tract 343, Bronx County, New York",36,005,034300,1755,229,1046,184,800,156,195,86,0,11,30,38,0,11,11,20,10,15,0,11,10,15,709,176,113,73,32,27,0,11,0,11,0,11,514,167,50,38,50,38,0,11,182,21,22,0,24,0,92,23,9,126
1400000US36005034400,2324,327,419,186,987,302,11,21,126,141,0,11,777,301,4,6,4,6,0,11,"Census Tract 344, Bronx County, New York",36,005,034400,2324,327,1605,259,222,160,965,303,0,11,126,141,0,11,292,187,0,11,0,11,0,11,719,317,197,136,22,20,11,21,0,11,0,11,485,267,4,6,4,6,0,11,340,13,90,0,6,0,231,0,10,234
1400000US36005034500,3461,656,2000,327,239,109,0,11,692,621,0,11,445,321,85,67,12,17,73,64,"Census Tract 345, Bronx County, New York",36,005,034500,3461,656,2584,644,1704,296,173,85,0,11,645,617,0,11,0,11,62,61,0,11,62,61,877,365,296,199,66,56,0,11,47,58,0,11,445,321,23,24,12,17,11,17,523,339,22,0,40,0,122,0,318,143
1400000US36005034800,7306,736,827,508,4148,604,0,16,198,220,0,16,1756,579,377,182,128,152,249,190,"Census Tract 348, Bronx County, New York",36,005,034800,7306,736,4452,604,154,138,3943,610,0,16,198,220,0,16,0,16,157,166,0,16,157,166,2854,608,673,479,205,181,0,16,0,16,0,16,1756,579,220,182,128,152,92,97,1587,88,726,0,87,0,651,35,10,895
1400000US36005035000,1781,246,106,62,1232,266,0,11,62,98,0,11,375,179,6,10,0,11,6,10,"Census Tract 350, Bronx County, New York",36,005,035000,1781,246,1307,301,53,35,1164,276,0,11,62,98,0,11,22,26,6,10,0,11,6,10,474,181,53,42,68,63,0,11,0,11,0,11,353,176,0,11,0,11,0,11,274,7,160,0,57,0,50,0,7,50
1400000US36005035100,3296,403,2194,367,222,100,33,44,160,102,0,11,624,258,63,49,37,41,26,26,"Census Tract 351, Bronx County, New York",36,005,035100,3296,403,2215,296,1816,286,183,97,0,11,160,102,0,11,6,11,50,42,24,33,26,26,1081,265,378,188,39,31,33,44,0,11,0,11,618,258,13,25,13,25,0,11,395,271,6,0,0,0,118,0,135,254
1400000US36005035600,2367,331,204,101,1508,353,1,2,112,85,0,11,457,190,85,82,44,70,41,49,"Census Tract 356, Bronx County, New York",36,005,035600,2367,331,1764,336,69,55,1494,350,1,2,112,85,0,11,15,23,73,83,44,70,29,43,603,208,135,83,14,14,0,11,0,11,0,11,442,195,12,20,0,11,12,20,132,25,58,0,3,0,32,14,2,74
1400000US36005035800,7558,694,421,228,5745,749,152,170,86,112,0,16,683,587,471,249,404,256,67,60,"Census Tract 358, Bronx County, New York",36,005,035800,7558,694,6017,755,87,77,5626,738,152,170,85,112,0,16,0,16,67,60,0,16,67,60,1541,522,334,227,119,129,0,16,1,9,0,16,683,587,404,256,404,256,0,16,457,7,348,0,13,0,89,0,7,135
1400000US36005035900,1960,201,171,70,573,161,0,11,36,51,0,11,1145,198,35,30,18,25,17,16,"Census Tract 359, Bronx County, New York",36,005,035900,1960,201,580,146,0,11,535,157,0,11,36,51,0,11,0,11,9,15,0,11,9,15,1380,177,171,70,38,34,0,11,0,11,0,11,1145,198,26,26,18,25,8,8,871,62,210,0,0,0,591,8,0,664
1400000US36005036000,3063,301,567,149,1467,275,0,11,188,130,0,11,699,193,142,82,80,63,62,60,"Census Tract 360, Bronx County, New York",36,005,036000,3063,301,1913,281,314,97,1318,280,0,11,165,125,0,11,48,66,68,59,6,8,62,60,1150,188,253,104,149,89,0,11,23,25,0,11,651,184,74,63,74,63,0,11,225,32,153,0,1,0,15,24,18,114
1400000US36005036100,6099,661,621,299,1671,416,0,16,0,16,0,16,3455,677,352,257,253,269,99,92,"Census Tract 361, Bronx County, New York",36,005,036100,6099,661,1412,390,25,23,1356,390,0,16,0,16,0,16,30,49,1,2,0,16,1,2,4687,619,596,297,315,227,0,16,0,16,0,16,3425,668,351,257,253,269,98,92,2714,121,685,0,0,0,1723,185,2,2259
1400000US36005036300,7977,741,1130,347,1574,564,0,16,0,16,0,16,5204,834,69,81,0,16,69,81,"Census Tract 363, Bronx County, New York",36,005,036300,7977,741,1604,541,87,88,1464,558,0,16,0,16,0,16,0,16,53,77,0,16,53,77,6373,733,1043,342,110,93,0,16,0,16,0,16,5204,834,16,27,0,16,16,27,3881,449,969,0,0,0,2410,53,52,2849
1400000US36005036400,2389,276,7,10,2120,277,60,97,10,15,0,11,140,117,52,59,10,14,42,57,"Census Tract 364, Bronx County, New York",36,005,036400,2389,276,2210,281,0,11,2098,275,60,97,10,15,0,11,0,11,42,57,0,11,42,57,179,125,7,10,22,25,0,11,0,11,0,11,140,117,10,14,10,14,0,11,132,0,128,0,0,0,4,0,0,4
1400000US36005036501,3904,380,383,243,2240,373,9,14,0,11,0,11,1184,355,88,86,18,20,70,83,"Census Tract 365.01, Bronx County, New York",36,005,036501,3904,380,2233,357,52,81,2122,362,0,11,0,11,0,11,39,63,20,31,0,11,20,31,1671,353,331,232,118,93,9,14,0,11,0,11,1145,339,68,80,18,20,50,78,1778,205,969,0,0,0,575,29,21,768
1400000US36005036502,2002,257,224,110,434,152,13,21,64,76,0,11,1234,251,33,39,18,25,15,22,"Census Tract 365.02, Bronx County, New York",36,005,036502,2002,257,541,153,53,57,424,151,0,11,64,76,0,11,0,11,0,11,0,11,0,11,1461,260,171,92,10,13,13,21,0,11,0,11,1234,251,33,39,18,25,15,22,904,130,95,0,0,0,674,5,18,791
